repo,stars,created_at,age_years,merged_pull_requests,total_releases,updated_at,days_since_update,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,539431,2018-05-09T12:03:18Z,8.26,157,0,2026-08-13T21:22:01Z,0,Markdown,944,677,0.7172
sindresorhus/awesome,495360,2014-07-11T13:42:37Z,12.09,700,0,2026-08-13T21:18:54Z,0,N/A,368,352,0.9565
public-apis/public-apis,455939,2016-03-20T23:49:42Z,10.4,2131,0,2026-08-13T21:22:11Z,0,Python,921,911,0.9891
freeCodeCamp/freeCodeCamp,453957,2014-12-24T17:49:19Z,11.64,29089,0,2026-08-13T21:21:04Z,0,TypeScript,22059,21888,0.9922
EbookFoundation/free-programming-books,394335,2013-10-11T06:50:37Z,12.84,7417,0,2026-08-13T20:33:36Z,0,Python,1292,1254,0.9706
openclaw/openclaw,386186,2025-11-24T10:16:47Z,0.72,24578,233,2026-08-13T21:23:10Z,0,TypeScript,46930,43535,0.9277
nilbuild/developer-roadmap,364347,2017-03-15T13:45:52Z,9.41,4390,1,2026-08-13T21:21:31Z,0,TypeScript,3184,3183,0.9997
donnemartin/system-design-primer,363643,2017-02-26T16:15:28Z,9.46,210,0,2026-08-13T21:17:25Z,0,Python,399,127,0.3183
jwasham/coding-interview-university,358649,2016-06-06T02:34:12Z,10.18,415,0,2026-08-13T21:17:01Z,0,N/A,536,455,0.8489
vinta/awesome-python,313794,2014-06-27T21:00:06Z,12.13,738,0,2026-08-13T21:19:04Z,0,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,312443,2015-06-01T02:33:17Z,11.2,0,1,2026-08-13T21:24:02Z,0,N/A,0,0,0.0
practical-tutorials/project-based-learning,279054,2017-04-12T05:07:46Z,9.34,194,0,2026-08-13T21:22:00Z,0,Python,239,88,0.3682
996icu/996.ICU,276626,2019-03-26T07:31:14Z,7.38,1071,0,2026-08-13T17:41:52Z,0,N/A,0,0,0.0
obra/superpowers,271707,2025-10-09T19:45:18Z,0.84,167,12,2026-08-13T21:11:42Z,0,Shell,843,693,0.8221
react/react,247234,2013-05-24T16:15:54Z,13.22,13033,132,2026-08-13T20:45:00Z,0,JavaScript,14612,13799,0.9444
torvalds/linux,242755,2011-09-04T22:48:12Z,14.94,0,0,2026-08-13T21:16:20Z,0,C,0,0,0.0
affaan-m/ECC,239951,2026-01-18T00:51:51Z,0.57,990,15,2026-08-13T21:14:56Z,0,JavaScript,703,663,0.9431
trimstray/the-book-of-secret-knowledge,238192,2018-06-23T10:43:14Z,8.14,122,0,2026-08-13T21:19:03Z,0,N/A,0,0,0.0
NousResearch/hermes-agent,230080,2025-07-22T22:22:28Z,1.06,10524,25,2026-08-13T21:22:25Z,0,Python,21335,10687,0.5009
TheAlgorithms/Python,223729,2016-07-16T09:44:01Z,10.08,3088,0,2026-08-13T20:57:58Z,0,Python,1749,1606,0.9182
mattpocock/skills,216300,2026-02-03T11:15:53Z,0.52,86,7,2026-08-13T21:21:59Z,0,Shell,625,300,0.48
vuejs/vue,210232,2013-07-29T03:24:51Z,13.04,1136,249,2026-08-13T19:42:44Z,0,TypeScript,10035,9670,0.9636
ossu/computer-science,207964,2014-05-04T00:18:39Z,12.28,315,0,2026-08-13T20:58:02Z,0,HTML,674,658,0.9763
multica-ai/andrej-karpathy-skills,202152,2026-01-27T03:53:13Z,0.54,12,0,2026-08-13T21:17:46Z,0,N/A,0,0,0.0
n8n-io/n8n,200527,2019-06-22T09:24:21Z,7.14,19910,760,2026-08-13T21:23:25Z,0,TypeScript,9987,9648,0.9661
