repo,stars,created_at,age_years,merged_pull_requests
codecrafters-io/build-your-own-x,538689,2018-05-09T12:03:18Z,8.26,157
sindresorhus/awesome,494541,2014-07-11T13:42:37Z,12.08,700
public-apis/public-apis,455461,2016-03-20T23:49:42Z,10.39,2105
freeCodeCamp/freeCodeCamp,453806,2014-12-24T17:49:19Z,11.63,29065
EbookFoundation/free-programming-books,394142,2013-10-11T06:50:37Z,12.83,7417
openclaw/openclaw,385926,2025-11-24T10:16:47Z,0.71,23904
nilbuild/developer-roadmap,364148,2017-03-15T13:45:52Z,9.41,4387
donnemartin/system-design-primer,363118,2017-02-26T16:15:28Z,9.45,210
jwasham/coding-interview-university,358393,2016-06-06T02:34:12Z,10.18,415
vinta/awesome-python,313377,2014-06-27T21:00:06Z,12.12,738
awesome-selfhosted/awesome-selfhosted,311976,2015-06-01T02:33:17Z,11.2,0
practical-tutorials/project-based-learning,278237,2017-04-12T05:07:46Z,9.33,194
996icu/996.ICU,276616,2019-03-26T07:31:14Z,7.38,1071
obra/superpowers,270616,2025-10-09T19:45:18Z,0.84,165
react/react,247154,2013-05-24T16:15:54Z,13.21,13023
torvalds/linux,242453,2011-09-04T22:48:12Z,14.93,0
affaan-m/ECC,239390,2026-01-18T00:51:51Z,0.56,976
trimstray/the-book-of-secret-knowledge,237792,2018-06-23T10:43:14Z,8.13,122
NousResearch/hermes-agent,228856,2025-07-22T22:22:28Z,1.05,10309
TheAlgorithms/Python,223657,2016-07-16T09:44:01Z,10.07,3088
mattpocock/skills,213486,2026-02-03T11:15:53Z,0.52,85
vuejs/vue,210216,2013-07-29T03:24:51Z,13.03,1136
ossu/computer-science,207879,2014-05-04T00:18:39Z,12.27,315
multica-ai/andrej-karpathy-skills,201497,2026-01-27T03:53:13Z,0.54,12
n8n-io/n8n,200223,2019-06-22T09:24:21Z,7.14,19775
tensorflow/tensorflow,196934,2015-11-07T01:19:20Z,10.76,48740
trekhleb/javascript-algorithms,196435,2018-03-24T07:47:04Z,8.38,309
anomalyco/opencode,196113,2025-04-30T20:08:00Z,1.28,6927
ultraworkers/claw-code,195040,2026-03-31T08:58:08Z,0.36,141
