repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
codecrafters-io/build-your-own-x,539397,Markdown,0,8.26,0.0,True
sindresorhus/awesome,495316,N/A,0,12.08,0.0,True
public-apis/public-apis,455915,Python,0,10.39,0.0,True
freeCodeCamp/freeCodeCamp,453955,TypeScript,0,11.63,0.0,True
EbookFoundation/free-programming-books,394332,Python,0,12.83,0.0,True
openclaw/openclaw,386185,TypeScript,233,0.71,328.17,False
nilbuild/developer-roadmap,364338,TypeScript,1,9.41,0.11,False
donnemartin/system-design-primer,363624,Python,0,9.45,0.0,True
jwasham/coding-interview-university,358638,N/A,0,10.18,0.0,True
vinta/awesome-python,313771,Python,0,12.12,0.0,True
awesome-selfhosted/awesome-selfhosted,312410,N/A,1,11.2,0.09,False
practical-tutorials/project-based-learning,279032,Python,0,9.33,0.0,True
996icu/996.ICU,276626,N/A,0,7.38,0.0,True
obra/superpowers,271654,Shell,12,0.84,14.29,False
react/react,247229,JavaScript,132,13.21,9.99,False
torvalds/linux,242747,C,0,14.93,0.0,True
affaan-m/ECC,239926,JavaScript,15,0.56,26.79,False
trimstray/the-book-of-secret-knowledge,238170,N/A,0,8.13,0.0,True
NousResearch/hermes-agent,230026,Python,24,1.05,22.86,False
TheAlgorithms/Python,223726,Python,0,10.07,0.0,True
mattpocock/skills,216185,Shell,7,0.52,13.46,False
vuejs/vue,210231,TypeScript,249,13.03,19.11,False
ossu/computer-science,207955,HTML,0,12.27,0.0,True
multica-ai/andrej-karpathy-skills,202122,N/A,0,0.54,0.0,True
n8n-io/n8n,200508,TypeScript,760,7.14,106.44,False
anomalyco/opencode,197023,TypeScript,860,1.28,671.88,False
tensorflow/tensorflow,197004,C++,222,10.76,20.63,False
trekhleb/javascript-algorithms,196462,JavaScript,0,8.38,0.0,True
ultraworkers/claw-code,195071,Rust,0,0.36,0.0,True
DigitalPlatDev/FreeDomain,192592,Markdown,0,2.2,0.0,True
ohmyzsh/ohmyzsh,189157,Shell,0,16.95,0.0,True
microsoft/vscode,188663,TypeScript,233,10.93,21.32,False
massgravel/Microsoft-Activation-Scripts,186922,Batchfile,31,6.58,4.71,False
Significant-Gravitas/AutoGPT,186589,Python,117,3.41,34.31,False
jackfrued/Python-100-Days,185177,Jupyter Notebook,0,8.44,0.0,True
CyC2018/CS-Notes,185039,N/A,0,8.49,0.0,True
getify/You-Dont-Know-JS,184654,N/A,0,12.73,0.0,True
yt-dlp/yt-dlp,184264,Python,135,5.79,23.32,False
avelino/awesome-go,180968,Go,0,12.1,0.0,True
ollama/ollama,178456,Go,241,3.12,77.24,False
flutter/flutter,178382,Dart,7,11.43,0.61,False
github/gitignore,175280,N/A,0,15.75,0.0,True
twbs/bootstrap,174579,MDX,94,15.03,6.25,False
microsoft/markitdown,173553,Python,20,1.74,11.49,False
521xueweihan/HelloGitHub,170729,Python,68,10.27,6.62,False
anthropics/skills,168900,Python,0,0.88,0.0,True
f/prompts.chat,167087,HTML,0,3.68,0.0,True
firecrawl/firecrawl,166879,TypeScript,35,2.32,15.09,False
AUTOMATIC1111/stable-diffusion-webui,164509,Python,27,3.97,6.8,False
huggingface/transformers,164070,Python,269,7.78,34.58,False
jlevy/the-art-of-command-line,162103,N/A,0,11.23,0.0,True
Snailclimb/JavaGuide,157768,JavaScript,0,8.26,0.0,True
langflow-ai/langflow,153187,Python,303,3.5,86.57,False
langgenius/dify,152351,TypeScript,168,3.33,50.45,False
open-webui/open-webui,148696,Python,167,2.84,58.8,False
airbnb/javascript,148148,JavaScript,0,13.77,0.0,True
Genymobile/scrcpy,147569,C,52,8.72,5.96,False
msitarzewski/agency-agents,145103,Shell,0,0.83,0.0,True
langchain-ai/langchain,144174,Python,1326,3.82,347.12,False
x1xhlol/system-prompts-and-models-of-ai-tools,142807,N/A,0,1.43,0.0,True
yangshun/tech-interview-handbook,141844,TypeScript,0,10.1,0.0,True
vercel/next.js,141764,JavaScript,3799,9.85,385.69,False
anthropics/claude-code,141342,Python,187,1.46,128.08,False
ytdl-org/youtube-dl,140957,Python,341,15.78,21.61,False
microsoft/PowerToys,137735,C,138,7.28,18.96,False
clash-verge-rev/clash-verge-rev,137605,TypeScript,67,2.72,24.63,False
iptv-org/iptv,135760,TypeScript,0,7.74,0.0,True
golang/go,135745,Go,0,11.98,0.0,True
labuladong/fucking-algorithm,135332,Markdown,0,6.48,0.0,True
Shubhamsaboo/awesome-llm-apps,132470,Python,0,2.28,0.0,True
ripienaar/free-for-dev,131675,HTML,0,11.4,0.0,True
excalidraw/excalidraw,129530,TypeScript,15,6.61,2.27,False
krahets/hello-algo,129402,Java,10,3.77,2.65,False
Chalarangelo/30-seconds-of-code,128708,JavaScript,12,8.7,1.38,False
garrytan/gstack,127830,TypeScript,0,0.42,0.0,True
Comfy-Org/ComfyUI,127308,Python,152,3.56,42.7,False
github/spec-kit,127192,Python,211,0.97,217.53,False
farion1231/cc-switch,126998,Rust,50,1.02,49.02,False
react/react-native,126339,C++,471,11.58,40.67,False
kubernetes/kubernetes,124488,Go,810,12.18,66.5,False
ggml-org/llama.cpp,123802,C++,6848,3.42,2002.34,False
electron/electron,122490,C++,1979,13.33,148.46,False
shadcn-ui/ui,121262,TypeScript,116,3.6,32.22,False
rustdesk/rustdesk,120340,Rust,39,5.86,6.66,False
nodejs/node,118918,JavaScript,512,11.7,43.76,False
justjavac/free-programming-books-zh_CN,118317,N/A,3,12.77,0.23,False
Hack-with-Github/Awesome-Hacking,118210,N/A,0,10.36,0.0,True
microsoft/generative-ai-for-beginners,117680,Jupyter Notebook,0,3.14,0.0,True
nextlevelbuilder/ui-ux-pro-max-skill,116406,Python,41,0.7,58.57,False
godotengine/godot,115665,C++,71,12.6,5.63,False
rust-lang/rust,115494,Rust,153,16.15,9.47,False
mrdoob/three.js,114497,JavaScript,177,16.38,10.81,False
2dust/v2rayN,113756,C#,332,7.03,47.23,False
d3/d3,113448,Shell,194,15.87,12.22,False
jaywcjlove/awesome-mac,110913,Swift,15,10.06,1.49,False
immich-app/immich,110412,TypeScript,305,4.51,67.63,False
tauri-apps/tauri,110186,Rust,1636,7.08,231.07,False
microsoft/TypeScript,110169,TypeScript,217,12.15,17.86,False
axios/axios,109230,JavaScript,123,11.98,10.27,False
browser-use/browser-use,109109,Python,134,1.77,75.71,False
