repo,stars,primary_language,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update
codecrafters-io/build-your-own-x,539397,Markdown,0,2026-07-14T19:25:58Z,2026-08-13T18:09:37Z,29.95,0.0
sindresorhus/awesome,495316,N/A,0,2026-06-30T18:21:16Z,2026-08-13T18:11:34Z,43.99,0.0
public-apis/public-apis,455915,Python,0,2026-08-12T09:25:54Z,2026-08-13T18:05:42Z,1.37,0.0
freeCodeCamp/freeCodeCamp,453955,TypeScript,0,2026-08-13T16:56:35Z,2026-08-13T18:04:06Z,0.05,0.01
EbookFoundation/free-programming-books,394332,Python,0,2026-08-11T12:11:06Z,2026-08-13T18:08:17Z,2.25,0.0
openclaw/openclaw,386185,TypeScript,233,2026-08-13T18:06:57Z,2026-08-13T18:04:47Z,0.0,0.0
nilbuild/developer-roadmap,364338,TypeScript,1,2026-08-13T09:38:56Z,2026-08-13T18:09:03Z,0.36,0.0
donnemartin/system-design-primer,363624,Python,0,2026-03-20T01:52:19Z,2026-08-13T18:10:06Z,146.68,0.0
jwasham/coding-interview-university,358638,N/A,0,2025-08-28T14:42:47Z,2026-08-13T18:10:53Z,350.15,0.0
vinta/awesome-python,313771,Python,0,2026-08-05T06:11:04Z,2026-08-13T18:04:49Z,8.5,0.0
awesome-selfhosted/awesome-selfhosted,312410,N/A,1,2026-08-12T18:50:03Z,2026-08-13T18:05:04Z,0.97,0.0
practical-tutorials/project-based-learning,279032,Python,0,2026-08-10T07:04:22Z,2026-08-13T18:08:04Z,3.46,0.0
996icu/996.ICU,276626,N/A,0,2025-08-22T06:01:29Z,2026-08-13T17:41:52Z,356.51,0.02
obra/superpowers,271654,Shell,12,2026-08-13T00:36:31Z,2026-08-13T18:09:10Z,0.73,0.0
react/react,247229,JavaScript,132,2026-08-13T15:44:43Z,2026-08-13T18:11:25Z,0.1,0.0
torvalds/linux,242747,C,0,2026-08-13T16:41:49Z,2026-08-13T18:11:15Z,0.06,0.0
affaan-m/ECC,239926,JavaScript,15,2026-08-12T22:45:12Z,2026-08-13T18:08:49Z,0.81,0.0
trimstray/the-book-of-secret-knowledge,238170,N/A,0,2024-11-19T14:00:38Z,2026-08-13T18:04:56Z,632.17,0.0
NousResearch/hermes-agent,230026,Python,24,2026-08-13T18:09:55Z,2026-08-13T18:11:35Z,0.0,0.0
TheAlgorithms/Python,223726,Python,0,2026-08-03T18:44:56Z,2026-08-13T18:04:39Z,9.98,0.0
mattpocock/skills,216185,Shell,7,2026-08-13T09:06:37Z,2026-08-13T18:10:05Z,0.38,0.0
vuejs/vue,210231,TypeScript,249,2024-10-10T07:24:15Z,2026-08-13T18:01:09Z,672.45,0.01
ossu/computer-science,207955,HTML,0,2026-07-14T05:38:25Z,2026-08-13T17:38:45Z,30.52,0.02
multica-ai/andrej-karpathy-skills,202122,N/A,0,2026-04-20T10:05:04Z,2026-08-13T18:11:07Z,115.34,0.0
n8n-io/n8n,200508,TypeScript,760,2026-08-13T17:59:59Z,2026-08-13T18:04:32Z,0.01,0.01
anomalyco/opencode,197023,TypeScript,860,2026-08-13T18:09:17Z,2026-08-13T18:09:32Z,0.0,0.0
tensorflow/tensorflow,197004,C++,222,2026-08-13T18:10:04Z,2026-08-13T17:44:11Z,0.0,0.02
trekhleb/javascript-algorithms,196462,JavaScript,0,2026-07-26T02:43:08Z,2026-08-13T17:48:46Z,18.64,0.02
ultraworkers/claw-code,195071,Rust,0,2026-08-06T11:18:35Z,2026-08-13T17:38:40Z,7.29,0.02
DigitalPlatDev/FreeDomain,192592,Markdown,0,2026-08-12T10:36:46Z,2026-08-13T18:10:45Z,1.32,0.0
ohmyzsh/ohmyzsh,189157,Shell,0,2026-08-11T11:03:43Z,2026-08-13T17:54:25Z,2.3,0.01
microsoft/vscode,188663,TypeScript,233,2026-08-13T18:09:28Z,2026-08-13T18:02:48Z,0.0,0.01
massgravel/Microsoft-Activation-Scripts,186922,Batchfile,31,2026-07-04T16:54:38Z,2026-08-13T17:40:52Z,40.05,0.02
Significant-Gravitas/AutoGPT,186589,Python,117,2026-08-13T18:05:45Z,2026-08-13T16:52:17Z,0.0,0.06
jackfrued/Python-100-Days,185177,Jupyter Notebook,0,2026-07-29T15:18:29Z,2026-08-13T17:55:39Z,15.12,0.01
CyC2018/CS-Notes,185039,N/A,0,2024-08-21T09:40:10Z,2026-08-13T17:08:50Z,722.36,0.04
getify/You-Dont-Know-JS,184654,N/A,0,2026-02-15T04:36:44Z,2026-08-13T17:31:56Z,179.57,0.03
yt-dlp/yt-dlp,184264,Python,135,2026-08-04T22:58:34Z,2026-08-13T18:09:22Z,8.8,0.0
avelino/awesome-go,180968,Go,0,2026-08-13T13:50:42Z,2026-08-13T17:54:49Z,0.18,0.01
ollama/ollama,178456,Go,241,2026-08-13T17:59:17Z,2026-08-13T18:07:38Z,0.01,0.0
flutter/flutter,178382,Dart,7,2026-08-13T17:45:30Z,2026-08-13T17:33:02Z,0.02,0.03
github/gitignore,175280,N/A,0,2026-07-23T16:06:45Z,2026-08-13T17:28:13Z,21.09,0.03
twbs/bootstrap,174579,MDX,94,2026-08-13T03:36:08Z,2026-08-13T16:52:50Z,0.61,0.05
microsoft/markitdown,173553,Python,20,2026-07-29T18:18:09Z,2026-08-13T18:08:51Z,15.0,0.0
521xueweihan/HelloGitHub,170729,Python,68,2026-08-02T07:58:25Z,2026-08-13T18:09:32Z,11.43,0.0
anthropics/skills,168900,Python,0,2026-08-13T18:09:56Z,2026-08-13T18:11:00Z,0.0,0.0
f/prompts.chat,167087,HTML,0,2026-08-13T03:49:09Z,2026-08-13T17:54:36Z,0.6,0.01
firecrawl/firecrawl,166879,TypeScript,35,2026-08-13T16:08:10Z,2026-08-13T18:05:59Z,0.09,0.0
AUTOMATIC1111/stable-diffusion-webui,164509,Python,27,2026-03-02T07:00:53Z,2026-08-13T17:34:51Z,164.47,0.03
huggingface/transformers,164070,Python,269,2026-08-13T17:38:18Z,2026-08-13T18:05:58Z,0.02,0.0
jlevy/the-art-of-command-line,162103,N/A,0,2024-06-25T18:13:44Z,2026-08-13T17:46:01Z,779.0,0.02
Snailclimb/JavaGuide,157768,JavaScript,0,2026-08-08T06:58:19Z,2026-08-13T17:08:21Z,5.47,0.04
langflow-ai/langflow,153187,Python,303,2026-08-13T17:54:10Z,2026-08-13T17:52:54Z,0.01,0.01
langgenius/dify,152351,TypeScript,168,2026-08-13T18:06:31Z,2026-08-13T18:07:16Z,0.0,0.0
open-webui/open-webui,148696,Python,167,2026-08-13T08:07:04Z,2026-08-13T18:01:04Z,0.42,0.01
airbnb/javascript,148148,JavaScript,0,2026-04-16T19:24:09Z,2026-08-13T17:12:23Z,118.95,0.04
Genymobile/scrcpy,147569,C,52,2026-07-12T18:16:07Z,2026-08-13T17:58:24Z,32.0,0.01
msitarzewski/agency-agents,145103,Shell,0,2026-08-06T13:29:47Z,2026-08-13T17:58:37Z,7.2,0.01
langchain-ai/langchain,144174,Python,1326,2026-08-13T17:02:05Z,2026-08-13T17:58:35Z,0.05,0.01
x1xhlol/system-prompts-and-models-of-ai-tools,142807,N/A,0,2026-08-11T13:01:09Z,2026-08-13T17:56:46Z,2.22,0.01
yangshun/tech-interview-handbook,141844,TypeScript,0,2026-08-07T12:06:42Z,2026-08-13T17:57:51Z,6.25,0.01
vercel/next.js,141764,JavaScript,3799,2026-08-13T18:10:24Z,2026-08-13T17:54:48Z,0.0,0.01
anthropics/claude-code,141342,Python,187,2026-08-13T08:38:50Z,2026-08-13T18:11:17Z,0.4,0.0
ytdl-org/youtube-dl,140957,Python,341,2026-02-19T16:45:25Z,2026-08-13T15:18:07Z,175.06,0.12
microsoft/PowerToys,137735,C,138,2026-08-13T17:46:10Z,2026-08-13T18:09:57Z,0.02,0.0
clash-verge-rev/clash-verge-rev,137605,TypeScript,67,2026-08-13T17:15:29Z,2026-08-13T18:03:21Z,0.04,0.01
iptv-org/iptv,135760,TypeScript,0,2026-08-13T14:33:11Z,2026-08-13T18:00:02Z,0.15,0.01
golang/go,135745,Go,0,2026-08-13T17:39:45Z,2026-08-13T17:25:24Z,0.02,0.03
labuladong/fucking-algorithm,135332,Markdown,0,2026-02-28T10:07:31Z,2026-08-13T18:06:29Z,166.34,0.0
Shubhamsaboo/awesome-llm-apps,132470,Python,0,2026-08-13T17:45:15Z,2026-08-13T18:01:06Z,0.02,0.01
ripienaar/free-for-dev,131675,HTML,0,2026-08-13T13:29:44Z,2026-08-13T18:08:19Z,0.2,0.0
excalidraw/excalidraw,129530,TypeScript,15,2026-08-13T15:55:10Z,2026-08-13T17:55:02Z,0.09,0.01
krahets/hello-algo,129402,Java,10,2026-07-24T07:32:34Z,2026-08-13T18:07:01Z,20.44,0.0
Chalarangelo/30-seconds-of-code,128708,JavaScript,12,2026-08-08T05:23:45Z,2026-08-13T17:12:25Z,5.53,0.04
garrytan/gstack,127830,TypeScript,0,2026-08-13T17:43:31Z,2026-08-13T18:00:20Z,0.02,0.01
Comfy-Org/ComfyUI,127308,Python,152,2026-08-13T18:03:57Z,2026-08-13T18:08:23Z,0.01,0.0
github/spec-kit,127192,Python,211,2026-08-13T17:53:01Z,2026-08-13T18:06:56Z,0.01,0.0
farion1231/cc-switch,126998,Rust,50,2026-08-13T09:54:33Z,2026-08-13T17:51:55Z,0.35,0.01
react/react-native,126339,C++,471,2026-08-13T17:52:25Z,2026-08-13T18:03:45Z,0.01,0.01
kubernetes/kubernetes,124488,Go,810,2026-08-12T12:38:12Z,2026-08-13T18:08:19Z,1.23,0.0
ggml-org/llama.cpp,123802,C++,6848,2026-08-13T18:10:36Z,2026-08-13T18:05:37Z,0.0,0.0
electron/electron,122490,C++,1979,2026-08-13T18:11:26Z,2026-08-13T17:49:56Z,0.0,0.02
shadcn-ui/ui,121262,TypeScript,116,2026-08-13T18:07:38Z,2026-08-13T18:07:59Z,0.0,0.0
rustdesk/rustdesk,120340,Rust,39,2026-08-13T12:22:41Z,2026-08-13T18:02:30Z,0.24,0.01
nodejs/node,118918,JavaScript,512,2026-08-13T17:26:22Z,2026-08-13T17:49:40Z,0.03,0.02
justjavac/free-programming-books-zh_CN,118317,N/A,3,2026-07-29T00:39:06Z,2026-08-13T17:46:56Z,15.73,0.02
Hack-with-Github/Awesome-Hacking,118210,N/A,0,2026-07-26T03:29:02Z,2026-08-13T18:03:57Z,18.61,0.01
microsoft/generative-ai-for-beginners,117680,Jupyter Notebook,0,2026-08-13T03:43:40Z,2026-08-13T17:46:18Z,0.6,0.02
nextlevelbuilder/ui-ux-pro-max-skill,116406,Python,41,2026-08-13T17:10:11Z,2026-08-13T17:59:18Z,0.04,0.01
godotengine/godot,115665,C++,71,2026-08-13T17:50:14Z,2026-08-13T18:09:14Z,0.01,0.0
rust-lang/rust,115494,Rust,153,2026-08-13T18:09:54Z,2026-08-13T18:05:02Z,0.0,0.0
mrdoob/three.js,114497,JavaScript,177,2026-08-13T17:22:29Z,2026-08-13T17:23:25Z,0.03,0.03
2dust/v2rayN,113756,C#,332,2026-08-10T07:09:04Z,2026-08-13T17:49:38Z,3.46,0.02
d3/d3,113448,Shell,194,2026-05-28T14:43:01Z,2026-08-13T16:33:24Z,77.14,0.07
jaywcjlove/awesome-mac,110913,Swift,15,2026-08-11T17:44:47Z,2026-08-13T17:50:18Z,2.02,0.01
immich-app/immich,110412,TypeScript,305,2026-08-13T17:51:33Z,2026-08-13T18:06:07Z,0.01,0.0
tauri-apps/tauri,110186,Rust,1636,2026-08-13T09:06:35Z,2026-08-13T17:22:31Z,0.38,0.03
microsoft/TypeScript,110169,TypeScript,217,2026-08-13T01:06:52Z,2026-08-13T18:07:24Z,0.71,0.0
axios/axios,109230,JavaScript,123,2026-08-13T18:05:23Z,2026-08-13T18:06:08Z,0.0,0.0
browser-use/browser-use,109109,Python,134,2026-08-13T17:35:01Z,2026-08-13T18:10:43Z,0.03,0.0
