repo,stars,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,539086,Markdown,942,677,0.7187
sindresorhus/awesome,494926,N/A,368,352,0.9565
public-apis/public-apis,455679,Python,921,911,0.9891
freeCodeCamp/freeCodeCamp,453895,TypeScript,22053,21876,0.992
EbookFoundation/free-programming-books,394250,Python,1292,1254,0.9706
openclaw/openclaw,386064,TypeScript,46829,43416,0.9271
nilbuild/developer-roadmap,364256,TypeScript,3184,3183,0.9997
donnemartin/system-design-primer,363439,Python,399,127,0.3183
jwasham/coding-interview-university,358516,N/A,536,455,0.8489
vinta/awesome-python,313596,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,312231,N/A,0,0,0.0
practical-tutorials/project-based-learning,278826,Python,239,88,0.3682
996icu/996.ICU,276622,N/A,0,0,0.0
obra/superpowers,271198,Shell,836,683,0.817
react/react,247201,JavaScript,14612,13799,0.9444
torvalds/linux,242623,C,0,0,0.0
affaan-m/ECC,239722,JavaScript,703,661,0.9403
trimstray/the-book-of-secret-knowledge,237999,N/A,0,0,0.0
NousResearch/hermes-agent,229498,Python,21120,10561,0.5
TheAlgorithms/Python,223681,Python,1749,1606,0.9182
mattpocock/skills,214930,Shell,622,300,0.4823
vuejs/vue,210234,TypeScript,10035,9670,0.9636
ossu/computer-science,207929,HTML,674,658,0.9763
multica-ai/andrej-karpathy-skills,201857,N/A,0,0,0.0
n8n-io/n8n,200373,TypeScript,9972,9631,0.9658
tensorflow/tensorflow,196976,C++,41678,40888,0.981
anomalyco/opencode,196531,TypeScript,23433,19571,0.8352
trekhleb/javascript-algorithms,196448,JavaScript,373,238,0.6381
ultraworkers/claw-code,195066,Rust,2211,2195,0.9928
DigitalPlatDev/FreeDomain,192492,Markdown,0,0,0.0
ohmyzsh/ohmyzsh,189138,Shell,5077,4926,0.9703
microsoft/vscode,188633,TypeScript,250637,233240,0.9306
massgravel/Microsoft-Activation-Scripts,186820,Batchfile,1068,1064,0.9963
Significant-Gravitas/AutoGPT,186557,Python,3939,3637,0.9233
jackfrued/Python-100-Days,185142,Jupyter Notebook,729,192,0.2634
CyC2018/CS-Notes,185034,N/A,579,449,0.7755
getify/You-Dont-Know-JS,184648,N/A,947,947,1.0
yt-dlp/yt-dlp,184074,Python,11893,9916,0.8338
avelino/awesome-go,180891,Go,755,736,0.9748
flutter/flutter,178363,Dart,115123,102562,0.8909
ollama/ollama,178359,Go,10943,8565,0.7827
github/gitignore,175266,N/A,0,0,0.0
twbs/bootstrap,174585,MDX,22939,22837,0.9956
microsoft/markitdown,173360,Python,563,181,0.3215
521xueweihan/HelloGitHub,170543,Python,3294,2708,0.8221
anthropics/skills,168498,Python,360,48,0.1333
f/prompts.chat,167057,HTML,172,152,0.8837
firecrawl/firecrawl,166365,TypeScript,945,885,0.9365
AUTOMATIC1111/stable-diffusion-webui,164499,Python,7913,5491,0.6939
huggingface/transformers,164005,Python,19302,18406,0.9536
jlevy/the-art-of-command-line,162091,N/A,264,138,0.5227
Snailclimb/JavaGuide,157730,JavaScript,1155,1098,0.9506
langflow-ai/langflow,153102,Python,3415,3201,0.9373
langgenius/dify,152233,TypeScript,18593,18316,0.9851
open-webui/open-webui,148605,Python,9328,9138,0.9796
airbnb/javascript,148132,JavaScript,1415,1315,0.9293
Genymobile/scrcpy,147502,C,6144,3356,0.5462
msitarzewski/agency-agents,144456,Shell,143,87,0.6084
langchain-ai/langchain,144088,Python,9956,9620,0.9663
x1xhlol/system-prompts-and-models-of-ai-tools,142754,N/A,211,120,0.5687
yangshun/tech-interview-handbook,141809,TypeScript,126,92,0.7302
vercel/next.js,141745,JavaScript,25146,22931,0.9119
anthropics/claude-code,141213,Python,83478,68294,0.8181
ytdl-org/youtube-dl,140942,Python,26831,23204,0.8648
microsoft/PowerToys,137696,C,41040,33717,0.8216
clash-verge-rev/clash-verge-rev,137389,TypeScript,5784,5387,0.9314
golang/go,135734,Go,72803,63085,0.8665
iptv-org/iptv,135719,TypeScript,34159,34141,0.9995
labuladong/fucking-algorithm,135319,Markdown,979,975,0.9959
Shubhamsaboo/awesome-llm-apps,132312,Python,171,167,0.9766
ripienaar/free-for-dev,131568,HTML,0,0,0.0
excalidraw/excalidraw,129441,TypeScript,4906,2648,0.5397
krahets/hello-algo,129381,Java,291,278,0.9553
Chalarangelo/30-seconds-of-code,128693,JavaScript,300,300,1.0
garrytan/gstack,127693,TypeScript,740,337,0.4554
Comfy-Org/ComfyUI,127059,Python,9087,5020,0.5524
farion1231/cc-switch,126712,Rust,4569,3152,0.6899
github/spec-kit,126409,Python,1483,1329,0.8962
react/react-native,126333,C++,27770,27090,0.9755
kubernetes/kubernetes,124461,Go,49513,47699,0.9634
ggml-org/llama.cpp,123672,C++,9388,8690,0.9256
electron/electron,122474,C++,21813,21132,0.9688
shadcn-ui/ui,121187,TypeScript,4230,3168,0.7489
rustdesk/rustdesk,120223,Rust,4296,4217,0.9816
nodejs/node,118900,JavaScript,20750,20044,0.966
justjavac/free-programming-books-zh_CN,118306,N/A,0,0,0.0
Hack-with-Github/Awesome-Hacking,118103,N/A,0,0,0.0
microsoft/generative-ai-for-beginners,117607,Jupyter Notebook,244,244,1.0
nextlevelbuilder/ui-ux-pro-max-skill,116082,Python,172,134,0.7791
godotengine/godot,115612,C++,63280,49912,0.7887
rust-lang/rust,115462,Rust,63487,52065,0.8201
mrdoob/three.js,114464,JavaScript,13724,13480,0.9822
2dust/v2rayN,113665,C#,7117,7093,0.9966
d3/d3,113449,Shell,2247,2242,0.9978
jaywcjlove/awesome-mac,110795,Swift,559,403,0.7209
immich-app/immich,110302,TypeScript,9110,8632,0.9475
microsoft/TypeScript,110163,TypeScript,43244,38190,0.8831
tauri-apps/tauri,110150,Rust,6410,5128,0.8
axios/axios,109232,JavaScript,5053,5005,0.9905
browser-use/browser-use,108950,Python,1601,1504,0.9394
