repo,stars,created_at,age_years,merged_pull_requests
codecrafters-io/build-your-own-x,538669,2018-05-09T12:03:18Z,8.26,157
sindresorhus/awesome,494528,2014-07-11T13:42:37Z,12.08,700
public-apis/public-apis,455451,2016-03-20T23:49:42Z,10.39,2105
freeCodeCamp/freeCodeCamp,453808,2014-12-24T17:49:19Z,11.63,29064
EbookFoundation/free-programming-books,394137,2013-10-11T06:50:37Z,12.83,7417
openclaw/openclaw,385922,2025-11-24T10:16:47Z,0.71,23894
nilbuild/developer-roadmap,364146,2017-03-15T13:45:52Z,9.41,4387
donnemartin/system-design-primer,363107,2017-02-26T16:15:28Z,9.45,210
jwasham/coding-interview-university,358391,2016-06-06T02:34:12Z,10.18,415
vinta/awesome-python,313369,2014-06-27T21:00:06Z,12.12,738
