repo,stars,primary_language,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update
codecrafters-io/build-your-own-x,539402,Markdown,0,2026-07-14T19:25:58Z,2026-08-13T18:24:37Z,29.96,0.0
sindresorhus/awesome,495323,N/A,0,2026-06-30T18:21:16Z,2026-08-13T18:23:01Z,44.0,0.0
public-apis/public-apis,455916,Python,0,2026-08-12T09:25:54Z,2026-08-13T18:17:45Z,1.37,0.01
freeCodeCamp/freeCodeCamp,453955,TypeScript,0,2026-08-13T16:56:35Z,2026-08-13T18:25:06Z,0.06,0.0
EbookFoundation/free-programming-books,394332,Python,0,2026-08-11T12:11:06Z,2026-08-13T18:08:17Z,2.26,0.01
openclaw/openclaw,386185,TypeScript,233,2026-08-13T18:22:41Z,2026-08-13T18:21:30Z,0.0,0.0
nilbuild/developer-roadmap,364340,TypeScript,1,2026-08-13T09:38:56Z,2026-08-13T18:22:50Z,0.37,0.0
donnemartin/system-design-primer,363625,Python,0,2026-03-20T01:52:19Z,2026-08-13T18:24:14Z,146.69,0.0
jwasham/coding-interview-university,358638,N/A,0,2025-08-28T14:42:47Z,2026-08-13T18:10:53Z,350.15,0.01
vinta/awesome-python,313770,Python,0,2026-08-05T06:11:04Z,2026-08-13T18:17:28Z,8.51,0.01
