repo,stars,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,539085,Markdown,942,677,0.7187
sindresorhus/awesome,494925,N/A,368,352,0.9565
public-apis/public-apis,455680,Python,921,911,0.9891
freeCodeCamp/freeCodeCamp,453895,TypeScript,22053,21876,0.992
EbookFoundation/free-programming-books,394250,Python,1292,1254,0.9706
openclaw/openclaw,386064,TypeScript,46829,43415,0.9271
nilbuild/developer-roadmap,364256,TypeScript,3184,3183,0.9997
donnemartin/system-design-primer,363438,Python,399,127,0.3183
jwasham/coding-interview-university,358515,N/A,536,455,0.8489
vinta/awesome-python,313595,Python,0,0,0.0
