repo,stars,primary_language,releases,age_years,releases_por_ano,sem_release
codecrafters-io/build-your-own-x,539442,Markdown,0,8.26,0.0,True
sindresorhus/awesome,495377,N/A,0,12.09,0.0,True
public-apis/public-apis,455948,Python,0,10.4,0.0,True
freeCodeCamp/freeCodeCamp,453959,TypeScript,0,11.64,0.0,True
EbookFoundation/free-programming-books,394337,Python,0,12.84,0.0,True
openclaw/openclaw,386194,TypeScript,233,0.72,323.61,False
nilbuild/developer-roadmap,364356,TypeScript,1,9.41,0.11,False
donnemartin/system-design-primer,363650,Python,0,9.46,0.0,True
jwasham/coding-interview-university,358649,N/A,0,10.18,0.0,True
vinta/awesome-python,313806,Python,0,12.13,0.0,True
awesome-selfhosted/awesome-selfhosted,312453,N/A,1,11.2,0.09,False
practical-tutorials/project-based-learning,279061,Python,0,9.34,0.0,True
996icu/996.ICU,276627,N/A,0,7.38,0.0,True
obra/superpowers,271727,Shell,12,0.84,14.29,False
react/react,247235,JavaScript,132,13.22,9.98,False
torvalds/linux,242760,C,0,14.94,0.0,True
affaan-m/ECC,239959,JavaScript,15,0.57,26.32,False
trimstray/the-book-of-secret-knowledge,238201,N/A,0,8.14,0.0,True
NousResearch/hermes-agent,230101,Python,25,1.06,23.58,False
TheAlgorithms/Python,223730,Python,0,10.08,0.0,True
mattpocock/skills,216345,Shell,7,0.52,13.46,False
vuejs/vue,210232,TypeScript,249,13.04,19.1,False
ossu/computer-science,207965,HTML,0,12.28,0.0,True
multica-ai/andrej-karpathy-skills,202163,N/A,0,0.54,0.0,True
n8n-io/n8n,200529,TypeScript,760,7.14,106.44,False
anomalyco/opencode,197080,TypeScript,860,1.29,666.67,False
tensorflow/tensorflow,197006,C++,222,10.77,20.61,False
trekhleb/javascript-algorithms,196464,JavaScript,0,8.39,0.0,True
ultraworkers/claw-code,195075,Rust,0,0.37,0.0,True
DigitalPlatDev/FreeDomain,192622,Markdown,0,2.2,0.0,True
ohmyzsh/ohmyzsh,189161,Shell,0,16.96,0.0,True
microsoft/vscode,188668,TypeScript,233,10.94,21.3,False
massgravel/Microsoft-Activation-Scripts,186937,Batchfile,31,6.58,4.71,False
Significant-Gravitas/AutoGPT,186591,Python,117,3.41,34.31,False
jackfrued/Python-100-Days,185177,Jupyter Notebook,0,8.45,0.0,True
CyC2018/CS-Notes,185040,N/A,0,8.5,0.0,True
getify/You-Dont-Know-JS,184656,N/A,0,12.74,0.0,True
yt-dlp/yt-dlp,184298,Python,135,5.8,23.28,False
avelino/awesome-go,180983,Go,0,12.1,0.0,True
ollama/ollama,178476,Go,241,3.13,77.0,False
flutter/flutter,178388,Dart,7,11.44,0.61,False
github/gitignore,175280,N/A,0,15.76,0.0,True
twbs/bootstrap,174577,MDX,94,15.04,6.25,False
microsoft/markitdown,173574,Python,20,1.75,11.43,False
521xueweihan/HelloGitHub,170743,Python,68,10.28,6.61,False
anthropics/skills,168986,Python,0,0.89,0.0,True
f/prompts.chat,167092,HTML,0,3.69,0.0,True
firecrawl/firecrawl,166951,TypeScript,35,2.33,15.02,False
AUTOMATIC1111/stable-diffusion-webui,164512,Python,27,3.98,6.78,False
huggingface/transformers,164077,Python,269,7.79,34.53,False
jlevy/the-art-of-command-line,162102,N/A,0,11.23,0.0,True
Snailclimb/JavaGuide,157769,JavaScript,0,8.27,0.0,True
langflow-ai/langflow,153196,Python,303,3.51,86.32,False
langgenius/dify,152366,TypeScript,168,3.34,50.3,False
open-webui/open-webui,148712,Python,167,2.85,58.6,False
airbnb/javascript,148149,JavaScript,0,13.78,0.0,True
Genymobile/scrcpy,147576,C,52,8.73,5.96,False
msitarzewski/agency-agents,145163,Shell,0,0.83,0.0,True
langchain-ai/langchain,144183,Python,1326,3.82,347.12,False
x1xhlol/system-prompts-and-models-of-ai-tools,142809,N/A,0,1.44,0.0,True
yangshun/tech-interview-handbook,141848,TypeScript,0,10.11,0.0,True
vercel/next.js,141770,JavaScript,3800,9.85,385.79,False
anthropics/claude-code,141356,Python,187,1.47,127.21,False
ytdl-org/youtube-dl,140958,Python,341,15.78,21.61,False
microsoft/PowerToys,137738,C,138,7.29,18.93,False
clash-verge-rev/clash-verge-rev,137612,TypeScript,67,2.73,24.54,False
iptv-org/iptv,135766,TypeScript,0,7.75,0.0,True
golang/go,135747,Go,0,11.98,0.0,True
labuladong/fucking-algorithm,135333,Markdown,0,6.48,0.0,True
Shubhamsaboo/awesome-llm-apps,132500,Python,0,2.29,0.0,True
ripienaar/free-for-dev,131694,HTML,0,11.41,0.0,True
excalidraw/excalidraw,129541,TypeScript,15,6.61,2.27,False
krahets/hello-algo,129406,Java,10,3.77,2.65,False
Chalarangelo/30-seconds-of-code,128710,JavaScript,12,8.7,1.38,False
garrytan/gstack,127876,TypeScript,0,0.42,0.0,True
github/spec-kit,127392,Python,211,0.97,217.53,False
Comfy-Org/ComfyUI,127343,Python,153,3.57,42.86,False
farion1231/cc-switch,127010,Rust,50,1.02,49.02,False
react/react-native,126340,C++,471,11.59,40.64,False
kubernetes/kubernetes,124489,Go,810,12.18,66.5,False
ggml-org/llama.cpp,123822,C++,6855,3.43,1998.54,False
electron/electron,122492,C++,1980,13.34,148.43,False
shadcn-ui/ui,121269,TypeScript,117,3.61,32.41,False
