repo,stars,created_at,age_years,merged_pull_requests,releases,pushed_at,updated_at,days_since_last_push,days_since_last_update,primary_language,total_issues,closed_issues,closed_issues_ratio
codecrafters-io/build-your-own-x,540183,2018-05-09T12:03:18Z,8.27,157,0,2026-07-14T19:25:58Z,2026-08-16T15:56:04Z,32.87,0.01,Markdown,946,677,0.7156
sindresorhus/awesome,496426,2014-07-11T13:42:37Z,12.1,700,0,2026-06-30T18:21:16Z,2026-08-16T16:11:45Z,46.91,0.0,N/A,368,352,0.9565
public-apis/public-apis,461179,2016-03-20T23:49:42Z,10.4,2127,0,2026-08-13T21:07:34Z,2026-08-16T16:14:55Z,2.8,0.0,Python,929,911,0.9806
freeCodeCamp/freeCodeCamp,454104,2014-12-24T17:49:19Z,11.64,29099,0,2026-08-16T13:22:47Z,2026-08-16T16:03:03Z,0.12,0.01,TypeScript,22064,21893,0.9922
EbookFoundation/free-programming-books,394523,2013-10-11T06:50:37Z,12.85,7417,0,2026-08-11T12:11:06Z,2026-08-16T16:15:17Z,5.17,0.0,Python,1292,1254,0.9706
openclaw/openclaw,386447,2025-11-24T10:16:47Z,0.73,25385,235,2026-08-16T16:15:18Z,2026-08-16T16:14:27Z,0.0,0.0,TypeScript,47215,43821,0.9281
nilbuild/developer-roadmap,364595,2017-03-15T13:45:52Z,9.42,4396,1,2026-08-14T17:26:59Z,2026-08-16T16:02:18Z,1.95,0.01,TypeScript,3184,3184,1.0
donnemartin/system-design-primer,364154,2017-02-26T16:15:28Z,9.47,210,0,2026-03-20T01:52:19Z,2026-08-16T16:13:33Z,149.6,0.0,Python,401,127,0.3167
jwasham/coding-interview-university,358906,2016-06-06T02:34:12Z,10.19,415,0,2025-08-28T14:42:47Z,2026-08-16T16:04:43Z,353.07,0.01,N/A,536,455,0.8489
vinta/awesome-python,314248,2014-06-27T21:00:06Z,12.13,740,0,2026-08-16T13:31:43Z,2026-08-16T16:04:18Z,0.11,0.01,Python,0,0,0.0
awesome-selfhosted/awesome-selfhosted,313031,2015-06-01T02:33:17Z,11.21,0,1,2026-08-16T12:09:55Z,2026-08-16T16:04:57Z,0.17,0.01,N/A,0,0,0.0
practical-tutorials/project-based-learning,279430,2017-04-12T05:07:46Z,9.34,194,0,2026-08-10T07:04:22Z,2026-08-16T16:15:24Z,6.38,0.0,Python,239,88,0.3682
996icu/996.ICU,276654,2019-03-26T07:31:14Z,7.39,1071,0,2025-08-22T06:01:29Z,2026-08-16T15:28:28Z,359.43,0.03,N/A,0,0,0.0
obra/superpowers,272703,2025-10-09T19:45:18Z,0.85,167,12,2026-08-13T00:36:31Z,2026-08-16T16:11:43Z,3.65,0.0,Shell,849,695,0.8186
react/react,247272,2013-05-24T16:15:54Z,13.23,13034,132,2026-08-14T17:33:13Z,2026-08-16T15:39:06Z,1.95,0.03,JavaScript,14613,13800,0.9444
torvalds/linux,243017,2011-09-04T22:48:12Z,14.95,0,0,2026-08-15T16:00:10Z,2026-08-16T16:10:27Z,1.01,0.0,C,0,0,0.0
affaan-m/ECC,240418,2026-01-18T00:51:51Z,0.57,996,15,2026-08-16T06:22:24Z,2026-08-16T16:05:05Z,0.41,0.01,JavaScript,708,667,0.9421
trimstray/the-book-of-secret-knowledge,238676,2018-06-23T10:43:14Z,8.15,122,0,2024-11-19T14:00:38Z,2026-08-16T16:11:48Z,635.09,0.0,N/A,0,0,0.0
NousResearch/hermes-agent,231379,2025-07-22T22:22:28Z,1.07,10916,25,2026-08-16T13:38:39Z,2026-08-16T16:14:21Z,0.11,0.0,Python,21933,11098,0.506
TheAlgorithms/Python,223778,2016-07-16T09:44:01Z,10.08,3088,0,2026-08-03T18:44:56Z,2026-08-16T15:51:46Z,12.9,0.02,Python,1749,1606,0.9182
mattpocock/skills,219027,2026-02-03T11:15:53Z,0.53,89,7,2026-08-16T11:15:04Z,2026-08-16T16:15:13Z,0.21,0.0,Shell,653,304,0.4655
vuejs/vue,210215,2013-07-29T03:24:51Z,13.05,1136,249,2024-10-10T07:24:15Z,2026-08-16T15:26:24Z,675.37,0.04,TypeScript,10035,9670,0.9636
ossu/computer-science,208044,2014-05-04T00:18:39Z,12.28,315,0,2026-07-14T05:38:25Z,2026-08-16T16:04:12Z,33.44,0.01,HTML,675,658,0.9748
multica-ai/andrej-karpathy-skills,202998,2026-01-27T03:53:13Z,0.55,12,0,2026-04-20T10:05:04Z,2026-08-16T16:12:22Z,118.26,0.0,N/A,0,0,0.0
n8n-io/n8n,200867,2019-06-22T09:24:21Z,7.15,19987,762,2026-08-16T15:40:22Z,2026-08-16T16:15:14Z,0.03,0.0,TypeScript,10009,9670,0.9661
anomalyco/opencode,198028,2025-04-30T20:08:00Z,1.29,7224,860,2026-08-16T16:02:37Z,2026-08-16T16:15:09Z,0.01,0.0,TypeScript,23807,19878,0.835
tensorflow/tensorflow,197058,2015-11-07T01:19:20Z,10.77,48928,222,2026-08-16T16:08:34Z,2026-08-16T15:23:55Z,0.01,0.04,C++,41685,40917,0.9816
trekhleb/javascript-algorithms,196468,2018-03-24T07:47:04Z,8.4,309,0,2026-07-26T02:43:08Z,2026-08-16T16:08:18Z,21.57,0.01,JavaScript,373,238,0.6381
ultraworkers/claw-code,195058,2026-03-31T08:58:08Z,0.38,141,0,2026-08-16T06:18:45Z,2026-08-16T16:09:31Z,0.42,0.01,Rust,2211,2195,0.9928
DigitalPlatDev/FreeDomain,193601,2024-05-30T13:23:00Z,2.21,0,0,2026-08-12T10:36:46Z,2026-08-16T16:14:33Z,4.24,0.0,Markdown,0,0,0.0
ohmyzsh/ohmyzsh,189216,2009-08-28T18:15:37Z,16.96,3652,0,2026-08-16T16:13:27Z,2026-08-16T16:14:23Z,0.0,0.0,Shell,5078,4926,0.9701
microsoft/vscode,188772,2015-09-03T20:23:38Z,10.95,51989,233,2026-08-16T16:09:42Z,2026-08-16T15:59:55Z,0.01,0.01,TypeScript,250877,233428,0.9304
massgravel/Microsoft-Activation-Scripts,187189,2020-01-12T23:03:34Z,6.59,7,31,2026-07-04T16:54:38Z,2026-08-16T16:07:14Z,42.97,0.01,Batchfile,1072,1065,0.9935
